,hd,hd95,hd_boundaries,hd95_boundaries
LUNG1-002,38.999992,11.881685,38.999992,27.056547
LUNG1-003,21.465446,3.977,21.465446,12.0
LUNG1-005,29.999994,8.190842,29.999994,26.428541
LUNG1-006,12.275204,1.667843,12.919272,4.953824
LUNG1-007,28.282381,7.5,30.0,22.596207
LUNG1-008,18.0,5.631888,18.0,16.078585
LUNG1-010,27.03533,11.881687,27.03533,27.0
LUNG1-011,12.956203,2.477,12.992989,6.567036
LUNG1-012,21.636276,0.977,21.636276,5.511324
LUNG1-014,15.0,1.57754,45.042404,20.684875
LUNG1-016,15.623399,1.5,15.623399,6.711151
LUNG1-020,15.0635,1.9885,15.0635,9.0
LUNG1-021,21.022715,7.5,21.022715,21.0
LUNG1-022,14.448867,0.0,14.448867,3.800689
LUNG1-023,14.0469,3.4885,14.0469,10.552721
LUNG1-024,14.999997,1.9885,14.999997,8.999998
LUNG1-025,11.999998,1.5,11.999998,6.529442
LUNG1-026,42.821491,14.66092,42.821491,33.914707
LUNG1-028,14.780128,1.4655,15.158254,6.0
LUNG1-030,27.000008,7.500002,27.000008,22.500006
LUNG1-031,8.199162,0.0,8.199162,3.0
LUNG1-033,14.119587,1.5,14.119587,7.306425
LUNG1-034,21.000006,4.604839,21.000006,15.940462
LUNG1-038,11.053493,1.5,13.446754,7.118267
LUNG1-039,9.097907,0.977,9.097907,4.281706
LUNG1-040,22.428656,7.500002,22.428656,20.377598
LUNG1-042,24.666866,4.22253,24.666866,16.502253
LUNG1-043,15.460967,0.4885,15.460967,5.4425
LUNG1-046,15.000004,2.477,15.000004,7.561951
LUNG1-051,15.500283,4.5,15.500283,13.676226
LUNG1-064,51.250675,17.679903,51.250675,38.374924
LUNG1-066,9.465242,1.57754,9.465242,9.000003
LUNG1-071,22.596867,7.464845,22.596867,17.566381
LUNG1-078,39.744534,7.935077,39.744534,24.128571
LUNG1-080,22.73377,4.25271,22.73377,9.449465
LUNG1-083,32.203205,3.0,32.203205,13.68703
LUNG1-085,48.514301,14.790567,48.514301,37.637398
LUNG1-087,45.084766,14.927072,45.084766,33.803051
LUNG1-103,21.0,4.5,21.0,16.5
LUNG1-116,33.0,12.151314,33.0,25.204245
LUNG1-124,25.229015,7.5,25.229015,21.0
LUNG1-135,21.0,3.338528,21.225851,12.252954
LUNG1-137,57.34227,19.649654,57.34227,43.393623
LUNG1-152,6.90534,0.976562,6.90534,3.521046
LUNG1-202,24.0,4.832126,24.0,21.0
LUNG1-204,13.846532,1.954,13.846532,6.0
LUNG1-252,27.637402,3.0,27.637402,9.332127
LUNG1-255,27.0,4.988281,27.0,20.84911
LUNG1-256,39.0,13.988281,39.0,28.904631
LUNG1-260,47.077957,4.043022,47.077957,14.812749
LUNG1-276,24.0,7.5,24.0,20.671434
LUNG1-278,34.883858,9.0,35.409634,29.113119
LUNG1-298,16.103796,1.5,16.103796,6.0
LUNG1-311,15.031755,1.5,15.031755,11.948357
LUNG1-315,36.382092,8.020003,36.382092,23.82914
LUNG1-321,21.0,7.5,21.0,18.0
LUNG1-322,36.0,12.812886,36.0,25.601688
LUNG1-329,19.791931,1.760523,19.791931,8.693216
LUNG1-332,27.035297,4.5,27.035297,15.447587
LUNG1-334,20.436296,3.0,20.436296,9.0
LUNG1-341,24.0,7.988281,24.0,19.82526
LUNG1-346,30.126888,12.0,30.126888,27.255127
LUNG1-355,21.677458,4.606436,21.677458,16.515877
LUNG1-356,12.955379,3.335426,25.577358,13.796227
LUNG1-358,9.0,1.381068,9.0,6.472659
LUNG1-359,29.8927,7.5,31.271536,23.559196
LUNG1-361,24.0,1.580111,24.0,12.662992
LUNG1-362,13.044959,2.964844,22.391808,8.465991
LUNG1-363,12.541688,2.964844,12.541688,9.0
LUNG1-364,24.079342,5.320893,24.079342,19.5
LUNG1-365,23.715366,3.374046,23.715366,17.435223
LUNG1-366,33.0,9.0,33.0,24.00993
LUNG1-367,31.386951,6.382812,31.386951,20.204336
LUNG1-368,22.62463,4.5,22.62463,15.610903
LUNG1-369,12.0,2.649221,12.0,12.0
LUNG1-370,18.241854,3.0,27.0,12.869643
LUNG1-371,36.0,7.469267,36.0,21.499887
LUNG1-372,21.113228,3.077472,21.113228,12.393263
LUNG1-373,18.599573,3.602615,24.0,11.498856
LUNG1-374,24.892744,6.0,24.892744,21.0
LUNG1-375,23.476828,3.163432,24.0,12.098532
LUNG1-376,24.0,5.958925,24.0,18.026451
LUNG1-377,26.935049,4.5,30.0,18.97456
LUNG1-378,9.0,0.488281,9.0,6.039476
LUNG1-379,27.0,4.5,27.0,19.332067
LUNG1-380,21.0,3.0,21.0,16.074766
LUNG1-381,18.470684,6.867876,32.808987,16.458925
LUNG1-382,24.315813,7.5,24.315813,21.459045
LUNG1-383,19.917925,2.852353,19.917925,10.975943
LUNG1-385,30.027308,3.291363,30.027308,14.705231
LUNG1-386,12.0,2.476562,12.0,12.0
LUNG1-387,60.032425,2.476562,60.032425,9.0
LUNG1-388,27.638529,3.289881,27.638529,11.574766
LUNG1-389,12.0,1.178815,12.0,6.0
LUNG1-390,51.819672,9.0,51.819672,26.737148
LUNG1-391,30.888134,1.5,30.888134,9.0
LUNG1-392,15.622851,2.906696,15.622851,12.720516
LUNG1-393,30.0,10.5,30.0,27.89488
LUNG1-394,14.680953,1.760523,14.680953,11.650886
LUNG1-395,21.0,3.764429,45.0,17.161684
LUNG1-396,24.0,4.5,24.0,18.448427
LUNG1-397,24.0,3.488281,24.0,16.719906
LUNG1-398,15.0,2.501516,15.0,15.0
LUNG1-399,15.774722,2.480415,15.774722,15.0
LUNG1-400,33.0,9.54249,33.0,25.793539
LUNG1-401,18.0,1.5,18.0,12.0
LUNG1-402,15.0,1.988281,15.0,8.32724
LUNG1-403,19.646599,3.14315,32.106926,16.209387
LUNG1-404,16.513138,1.988281,16.513138,12.0
LUNG1-405,177.654984,6.0,177.654984,23.665209
LUNG1-406,21.0,6.0,21.0,21.0
LUNG1-407,27.0,7.5,27.0,23.213707
LUNG1-408,15.0,3.0,15.0,14.30863
LUNG1-409,21.560192,1.5,21.560192,14.824219
LUNG1-410,18.23686,4.333032,38.606953,16.929819
LUNG1-411,27.903244,7.109397,29.194786,23.712772
LUNG1-412,27.851931,11.622598,27.851931,21.480644
LUNG1-413,31.165003,6.386886,31.165003,20.488964
LUNG1-414,22.342205,3.467731,33.0,15.599443
LUNG1-415,15.0,3.488281,15.0,15.0
LUNG1-416,13.496183,1.5,17.893991,9.893243
LUNG1-417,16.103796,1.5,16.103796,6.989253
LUNG1-418,15.0,3.812886,17.535679,11.037519
LUNG1-419,36.61018,5.295279,36.61018,15.314912
LUNG1-420,22.026596,3.374046,24.0,14.401001
LUNG1-421,18.0,3.0,18.0,13.340374
LUNG1-422,9.052827,1.580111,9.052827,6.0
